Sample,Unique_CDR3_Count
matched_SRR18719786.dedup,10015
matched_SRR18719577.dedup,13546
matched_SRR18720231.dedup,16399
matched_SRR18719367.dedup,13717
matched_SRR18720331.dedup,13425
matched_SRR18719769.dedup,12987
matched_SRR18719965.dedup,10954
matched_SRR18720208.dedup,7229
matched_SRR18719626.dedup,10295
matched_SRR18720134.dedup,11420
matched_SRR18719540.dedup,11683
matched_SRR18719939.dedup,12192
matched_SRR18719805.dedup,12137
matched_SRR18720007.dedup,11979
matched_SRR18719685.dedup,13299
matched_SRR18719486.dedup,12187
matched_SRR18719393.dedup,13366
matched_SRR18719759.dedup,11996
matched_SRR18719520.dedup,12744
matched_SRR18719397.dedup,9286
matched_SRR18719680.dedup,9982
matched_SRR18719884.dedup,9538
matched_SRR18720179.dedup,11592
matched_SRR18720329.dedup,7168
matched_SRR18719896.dedup,14450
matched_SRR18719930.dedup,14924
matched_SRR18719898.dedup,12119
matched_SRR18720156.dedup,14138
matched_SRR18720250.dedup,12835
matched_SRR18720213.dedup,9778
matched_SRR18719524.dedup,10360
matched_SRR18719394.dedup,9102
matched_SRR18720009.dedup,11057
matched_SRR18719382.dedup,8457
matched_SRR18720005.dedup,13557
matched_SRR18720236.dedup,11327
matched_SRR18719461.dedup,12258
matched_SRR18720321.dedup,11905
matched_SRR18719559.dedup,15375
matched_SRR18719464.dedup,11188
matched_SRR18719424.dedup,9570
matched_SRR18720136.dedup,16063
matched_SRR18719761.dedup,9754
matched_SRR18719726.dedup,11752
matched_SRR18719664.dedup,13671
matched_SRR18719734.dedup,12020
matched_SRR18720011.dedup,12228
matched_SRR18719746.dedup,6078
matched_SRR18720164.dedup,11766
matched_SRR18719599.dedup,11151
matched_SRR18720292.dedup,11995
matched_SRR18720303.dedup,12849
matched_SRR18720311.dedup,13298
matched_SRR18720245.dedup,12501
matched_SRR18720173.dedup,14100
matched_SRR18719827.dedup,14553
matched_SRR18719826.dedup,15664
matched_SRR18719853.dedup,11045
matched_SRR18719811.dedup,11937
matched_SRR18720126.dedup,12395
matched_SRR18719469.dedup,14131
matched_SRR18719545.dedup,13566
matched_SRR18719733.dedup,15456
matched_SRR18719999.dedup,12068
matched_SRR18719885.dedup,11297
matched_SRR18719801.dedup,10197
matched_SRR18720277.dedup,11543
matched_SRR18720192.dedup,22131
matched_SRR18719482.dedup,10249
matched_SRR18719647.dedup,12196
matched_SRR18720008.dedup,14198
matched_SRR18720188.dedup,14673
matched_SRR18720180.dedup,18996
matched_SRR18719781.dedup,13514
matched_SRR18719963.dedup,10825
matched_SRR18719977.dedup,12701
matched_SRR18720287.dedup,12307
matched_SRR18720151.dedup,10627
matched_SRR18720118.dedup,9438
matched_SRR18719697.dedup,13010
matched_SRR18720226.dedup,13359
matched_SRR18720281.dedup,17075
matched_SRR18719543.dedup,9808
matched_SRR18719676.dedup,12319
matched_SRR18719434.dedup,11302
matched_SRR18720201.dedup,9870
matched_SRR18720013.dedup,13864
matched_SRR18719659.dedup,15238
matched_SRR18719957.dedup,14744
matched_SRR18719496.dedup,15457
matched_SRR18720258.dedup,15885
matched_SRR18719992.dedup,9422
matched_SRR18719374.dedup,13886
matched_SRR18719800.dedup,10866
matched_SRR18719492.dedup,12013
matched_SRR18720194.dedup,16684
matched_SRR18720153.dedup,13025
matched_SRR18719852.dedup,15096
matched_SRR18719803.dedup,14757
matched_SRR18719473.dedup,13513
matched_SRR18720230.dedup,10741
matched_SRR18719633.dedup,9719
matched_SRR18719614.dedup,14497
matched_SRR18719912.dedup,11921
matched_SRR18719370.dedup,13225
matched_SRR18719732.dedup,9243
matched_SRR18720114.dedup,15551
matched_SRR18720386.dedup,9915
matched_SRR18719966.dedup,9790
matched_SRR18720121.dedup,5985
matched_SRR18719598.dedup,6894
matched_SRR18719635.dedup,15061
matched_SRR18720072.dedup,10858
matched_SRR18719744.dedup,10110
matched_SRR18719442.dedup,13721
matched_SRR18719698.dedup,10413
matched_SRR18720080.dedup,11447
matched_SRR18719585.dedup,13384
matched_SRR18719704.dedup,13908
matched_SRR18720266.dedup,12659
matched_SRR18719592.dedup,13531
matched_SRR18719991.dedup,9766
matched_SRR18720246.dedup,15101
matched_SRR18720256.dedup,14410
matched_SRR18719554.dedup,12574
matched_SRR18720353.dedup,13553
matched_SRR18719837.dedup,9853
matched_SRR18720269.dedup,10931
matched_SRR18720388.dedup,14037
matched_SRR18720346.dedup,11627
matched_SRR18719671.dedup,7080
matched_SRR18719449.dedup,15699
matched_SRR18720252.dedup,13986
matched_SRR18719425.dedup,12124
matched_SRR18719590.dedup,12814
matched_SRR18719700.dedup,10621
matched_SRR18719629.dedup,12247
matched_SRR18719722.dedup,12409
matched_SRR18720370.dedup,12916
matched_SRR18719389.dedup,9200
matched_SRR18720302.dedup,12925
matched_SRR18720039.dedup,14998
matched_SRR18719987.dedup,13632
matched_SRR18719742.dedup,10238
matched_SRR18720068.dedup,12923
matched_SRR18719578.dedup,12575
matched_SRR18720083.dedup,8670
matched_SRR18720278.dedup,9944
matched_SRR18720111.dedup,7985
matched_SRR18719380.dedup,14211
matched_SRR18719361.dedup,13371
matched_SRR18719774.dedup,12460
matched_SRR18720148.dedup,7151
matched_SRR18719831.dedup,17518
matched_SRR18719375.dedup,12950
matched_SRR18720315.dedup,18027
matched_SRR18719872.dedup,13079
matched_SRR18720177.dedup,12296
matched_SRR18719463.dedup,12149
matched_SRR18720157.dedup,11183
matched_SRR18719857.dedup,13091
matched_SRR18720350.dedup,14734
matched_SRR18719662.dedup,7872
matched_SRR18719958.dedup,12834
matched_SRR18719993.dedup,9252
matched_SRR18720206.dedup,11829
matched_SRR18719587.dedup,10653
matched_SRR18720249.dedup,12270
matched_SRR18719731.dedup,11574
matched_SRR18719978.dedup,10137
matched_SRR18720109.dedup,9543
matched_SRR18720124.dedup,13126
matched_SRR18719390.dedup,11820
matched_SRR18719924.dedup,16148
matched_SRR18720024.dedup,12989
matched_SRR18719988.dedup,12522
matched_SRR18720116.dedup,9808
matched_SRR18720066.dedup,14707
matched_SRR18720257.dedup,13045
matched_SRR18720204.dedup,11903
matched_SRR18720058.dedup,12059
matched_SRR18719478.dedup,13320
matched_SRR18719609.dedup,13268
matched_SRR18720290.dedup,12681
matched_SRR18720079.dedup,12711
matched_SRR18719527.dedup,13538
matched_SRR18720161.dedup,9469
matched_SRR18720262.dedup,9743
matched_SRR18719363.dedup,15417
matched_SRR18720174.dedup,13635
matched_SRR18720182.dedup,12677
matched_SRR18720255.dedup,12306
matched_SRR18720242.dedup,14530
matched_SRR18720034.dedup,11818
matched_SRR18719574.dedup,13275
matched_SRR18719933.dedup,14207
matched_SRR18719575.dedup,12476
matched_SRR18720349.dedup,15063
matched_SRR18719583.dedup,14070
matched_SRR18719910.dedup,24234
matched_SRR18719754.dedup,9699
matched_SRR18720360.dedup,7220
matched_SRR18719428.dedup,9018
matched_SRR18719899.dedup,11471
matched_SRR18720178.dedup,10848
matched_SRR18719830.dedup,13133
matched_SRR18719819.dedup,13708
matched_SRR18719658.dedup,12023
matched_SRR18719538.dedup,13529
matched_SRR18719653.dedup,10842
matched_SRR18719715.dedup,15764
matched_SRR18720239.dedup,11852
matched_SRR18720056.dedup,13154
matched_SRR18719455.dedup,14179
matched_SRR18720366.dedup,12644
matched_SRR18719593.dedup,10212
matched_SRR18719829.dedup,12795
