Sample,Unique_CDR3_Count
SRR18510583.unmapped.longest_only,1294
SRR18511283.unmapped.longest_only,844
SRR18509300.unmapped.longest_only,945
SRR18511270.unmapped.longest_only,1031
SRR18509184.unmapped.longest_only,2742
SRR18509200.unmapped.longest_only,3509
SRR18509671.unmapped.longest_only,1080
SRR18511203.unmapped.longest_only,1664
SRR18510569.unmapped.longest_only,2805
SRR18510605.unmapped.longest_only,2069
SRR18510162.unmapped.longest_only,1161
SRR18509603.unmapped.longest_only,909
SRR18509023.unmapped.longest_only,2415
SRR18510998.unmapped.longest_only,1995
SRR18510105.unmapped.longest_only,4825
SRR18511317.unmapped.longest_only,1275
SRR18509788.unmapped.longest_only,1948
SRR18509963.unmapped.longest_only,2771
SRR18509466.unmapped.longest_only,1915
SRR18509645.unmapped.longest_only,1599
SRR18509825.unmapped.longest_only,1449
SRR18510948.unmapped.longest_only,1818
SRR18509642.unmapped.longest_only,1112
SRR18511237.unmapped.longest_only,924
SRR18511367.unmapped.longest_only,2318
SRR18510503.unmapped.longest_only,1113
SRR18509180.unmapped.longest_only,2036
SRR18509948.unmapped.longest_only,1633
SRR18509587.unmapped.longest_only,6013
SRR18509279.unmapped.longest_only,750
SRR18511505.unmapped.longest_only,2223
SRR18509214.unmapped.longest_only,2518
SRR18510202.unmapped.longest_only,2023
SRR18509371.unmapped.longest_only,1827
SRR18509980.unmapped.longest_only,708
SRR18510243.unmapped.longest_only,2805
SRR18509116.unmapped.longest_only,1690
SRR18509489.unmapped.longest_only,1073
SRR18509274.unmapped.longest_only,1544
SRR18509994.unmapped.longest_only,1144
SRR18509271.unmapped.longest_only,1169
SRR18510746.unmapped.longest_only,971
SRR18511180.unmapped.longest_only,3619
SRR18509114.unmapped.longest_only,1673
SRR18509780.unmapped.longest_only,1905
SRR18509985.unmapped.longest_only,877
SRR18509459.unmapped.longest_only,1604
SRR18509882.unmapped.longest_only,1203
SRR18510908.unmapped.longest_only,1073
SRR18510830.unmapped.longest_only,707
SRR18510180.unmapped.longest_only,1961
SRR18509090.unmapped.longest_only,2131
SRR18510141.unmapped.longest_only,1446
SRR18510781.unmapped.longest_only,1732
SRR18509131.unmapped.longest_only,1375
